snr,amplitude,peakFreq
30.15,2.35e-22,39.789
9.782,1.2500000000000001e-22,32.268
783.238,8.32e-21,32.173
178.658,6.700000000000001e-22,115.113
8.6,3.98e-22,21.989
8.021,2.02e-22,25.048
14.451,9.99e-20,10.609000000000002
16.637999999999998,1.32e-22,39.789
17.660999999999994,1.3e-22,39.789
7.866,6.039999999999999e-23,39.789
41.12300000000001,2.61e-22,49.208
13.962,4.25e-22,24.416
7.867000000000001,2.72e-20,12.859000000000002
8.11,2.93e-22,24.264
16.590999999999998,2.51e-21,18.338
8.001,4.25e-22,22.739
234.688,8.689999999999999e-22,115.113
10.44,2.45e-22,24.613000000000003
7.794,1.7000000000000002e-22,24.264
7.767,1.63e-22,27.308000000000003
10.705,8.359999999999998e-23,39.789
9.271,3.82e-22,21.559
9.24,6.359999999999999e-23,1270.186
13.624,1.7899999999999993e-21,18.835
8.854,3.8900000000000003e-22,21.34
9.242,5.46e-22,22.513
7.808,4e-22,22.918000000000006
11.862,2.6e-22,24.613000000000003
24.423,1.92e-22,39.789
7.947,1.3800000000000001e-22,28.43
8.727,5.27e-23,47.124
39.516,3.8700000000000004e-21,19.519
8.195,4.83e-23,50.268
38.191,3.94e-21,18.835
38.077,3.88e-21,18.835
10.428,9.46e-23,39.789
148.99200000000005,1.900000000000001e-21,32.173
18.075,5.990000000000001e-23,142.363
10.642,5.3e-23,60.857
7.537000000000001,3.38e-22,24.264
38.361,5.1e-21,18.502
71.173,1.7700000000000003e-21,27.886
7.808,2.45e-22,23.511
31.594,2.5600000000000003e-22,1271.283
7.716,2.92e-22,23.511
8.005,8.829999999999998e-23,34.59
8.596,4.7500000000000025e-22,21.989
12.084,9.619999999999999e-23,39.789
13.731,4.73e-23,115.113
7.981,4.84e-23,1050.42
11.08,2.98e-22,23.331
9.529,9.319999999999999e-23,38.93
8.46,3.53e-22,24.316
15.039,1.66e-22,32.173
12.904000000000002,6.81e-23,50.268
100.84,3.72e-22,333.03
8.043,1.5000000000000002e-22,28.43
13.044,1.65e-21,19.519
7.627000000000002,3.89e-23,68.992
8.461,8.040000000000001e-23,43.81399999999999
